Original,Renamed
BUKRS,CMPNY_ID
DOC_CURR_AMT_C,DOC_CURR_AMT
HWAER,LOCAL_CURR_ID
LDGRP,LDGR_GROUP_ID
LOCAL_CURR_AMT_C,LOCAL_CURR_AMT
ORIG_TAX_BASE_DOC_CURR_AMT_C,ORIG_TAX_BASE_DOC_CURR_AMT
ORIG_TAX_BASE_LOCAL_CURR_AMT_C,ORIG_TAX_BASE_LOCAL_CURR_AMT
PRCTR,PROFIT_CTR_ID
QTY_C,QTY
TAX_BASE_DOC_CURR_AMT_C,TAX_BASE_DOC_CURR_AMT
TAX_BASE_LOCAL_CURR_AMT_C,TAX_BASE_LOCAL_CURR_AMT
TAX_DOC_CURR_AMT_C,TAX_DOC_CURR_AMT
TAX_LOCAL_CURR_AMT_C,TAX_LOCAL_CURR_AMT
TRANS_QTY_C,TRANS_QTY
WAERS,DOC_CURR_ID
WERKS,PLANT_ID
WITHHOLDING_TAX_BASE_AMT_C,WITHHOLDING_TAX_BASE_AMT
