Original,Renamed
ACCT_DOC_NMBR_C,ACCT_DOC_NMBR
AEDAT,ACCT_DOC_CHGD_DT
ALTERNATIVE_RFRNC_NMBR_C,ALT_RFRNC_NMBR
AUGBL,CLEARING_DOC_NMBR
AUGCP,CLEARING_ENTRY_DT
AUGDT,CLEARING_DT
AWKEY,RFRNC_ID
AWREF_REV,RVRS_DOC_NMBR
AWTYP,RFRNC_TRANS_TYPE_ID
BEWAR,TRANS_TYPE_CD
BLART,DOC_TYPE_ID
BLDAT,DOC_DT
BLTXT,DOC_HDR_TXT
BSCHL,PSTNG_KEY_ID
BSTAT,ACCT_DOC_STATUS_ID
BUDAT_COBK,PSTNG_DT
BUKRS_COEP,CMPNY_ID
BUZEI,LINE_ITEM_NMBR
BWTAR,VLTN_TYPE_ID
CPUDT_COBK,ACCT_DOC_ENTRY_DT
CPUTM,ACCT_DOC_ENTRY_TM
DBBLG,RECURRING_ENTRY_DOC_NMBR
DOCCAT,DOC_CTGRY_ID
EBELN,PRCHS_ORDER_DOC_ID
EBELP,PRCHS_ORDER_DOC_ITEM_NMBR
GJAHR,FSCL_YR
GKONT,VNDR_ID
KOSTL_CSKS,COST_CTR_ID
KSTAR_COEP,GL_ACCT_ID
KSTSN,GL_ACCT_CHILD_ID
KTOSL,TRANS_KEY_CD
LANDL,SUPPLYING_CNTRY_CD
MTRL_ID_C,MTRL_ID
MWART,TAX_TYPE_CD
MWSKZ,DISTR_TAX_CD
NPLNR_BSEG,NETWORK_NMBR
OWAER,LOCAL_CURR_ID
PAROB1,SRC_OBJNR_NMBR
PLANT_ID_C,PLANT_ID
PPNAM,DOC_PARKED_USER_NM
PROFIT_CTR_ID,MPPNG_PROFIT_CTR_ID
REBZJ,CRDT_MEMO_RLVNT_INVC_FSCL_YR
REBZZ,RLVNT_INVC_LINE_ITEM_NMBR
REFBK,RFRNC_DOC_CMPNY_ID
REFBN,RFRNC_DOC_NMBR
REFBT,RFRNC_DOC_CTGRY_CD
REFGJ,RFRNC_DOC_YR
SGTXT,ITEM_TXT
STCEG,VAT_RGSTRTN_NMBR
STGRD,RVRSL_RSN_CD
STJAH,RVRS_DOC_FSCL_YR
STODT,RVRS_PSTNG_PLNND_DT
TCODE_C,TRANS_CD
TWAER,DOC_CURR_ID
TXGRP,TAX_LINE_ITEM_GROUP_CD
UPDDT,ACCT_DOC_LAST_UPDT_DT
USNAM,DOC_CRTN_USER_ID
VBELN,DLVRY_DOC_ID
VORGN,GL_TRANS_TYPE_CD
VORNR,ACTV_CD
VRGNG,BSNSS_TRANS_CD
WWERT,CURR_TRNSLTN_DT
XAUTO,LINE_ITEM_AUTO_CRTN_IND
XBLNR,RFRNC_ACCT_NMBR
XREF1,BSNSS_PRTNR_RFRNC_KEY_1_ID
XREF1_HD,RFRNC_KEY_1_ID
XREF2,BSNSS_PRTNR_RFRNC_KEY_2_ID
XREF2_HD,RFRNC_KEY_2_ID
XREF3,LINE_ITEM_RFRNC_KEY_ID
XREVERSAL,RVRSL_IND
XUMSW,SLS_RLTD_ITEM_IND
ZUONR,ASGNMNT_NMBR
