Original,Renamed
FUNC_AREA_CSKA,FUNC_AREA
BUDAT_COBK,BUDAT
KOKRS_COBK,KOKRS
FI_DOC_NBMR,BELNR
NPLNR_BSEG,NPLNR
KUNNR_BSEG,KUNNR
PRCTR_BSEG,PRCTR
FI_DOC_NMBR,BELNR
MATNR_COEP,MATNR
KSTAR_COEP,RACCT
WERKS_COEP,WERKS
BUKRS_COEP,RBUKRS
FKBER,RFAREA
FKBER_COEP,RFAREA
CPUDT_COBK,TIMESTAMP
KOSTL_CSKS,RCNTR
ORIG_TAX_BASE_DOC_CURR_AMT_C,ORIG_TAX_BASE_DOC_CURR_AMT
ORIG_TAX_BASE_LOCAL_CURR_AMT_C,ORIG_TAX_BASE_LOCAL_CURR_AMT
TAX_BASE_DOC_CURR_AMT_C,TAX_BASE_DOC_CURR_AMT
TAX_BASE_LOCAL_CURR_AMT_C,TAX_BASE_LOCAL_CURR_AMT
TAX_DOC_CURR_AMT_C,TAX_DOC_CURR_AMT
TAX_LOCAL_CURR_AMT_C,TAX_LOCAL_CURR_AMT
WITHHOLDING_TAX_BASE_AMT_C,WITHHOLDING_TAX_BASE_AMT
