ecc_table,ecc_field,s4_table,s4_field,FLAGGED_FOR_REVIEW
AFVC,PROJN,AFVC,PROJN,N
AFVC,VORNR,ACDOCA,VORNR,N
BKPF,ACRITMTYPE,ACDOCA,ACRITMTYPE,N
BKPF,ACRLOGSYS,ACDOCA,ACRLOGSYS,N
BKPF,ACROBJTYPE,ACDOCA,ACROBJTYPE,N
BKPF,ACROBJ_ID,ACDOCA,ACROBJ_ID,N
BKPF,ACRSOBJ_ID,ACDOCA,ACRSOBJ_ID,N
BKPF,ACRVALDAT,ACDOCA,ACRVALDAT,N
BKPF,AEDAT,BKPF,AEDAT,N
BKPF,ANBWA,ACDOCA,ANBWA,N
BKPF,ANLN1,ACDOCA,ANLN1,N
BKPF,ANLN2,ACDOCA,ANLN2,N
BKPF,AUFNR,ACDOCA,AUFNR,N
BKPF,AUGBL,ACDOCA,AUGBL,N
BKPF,AUGDT,ACDOCA,AUGDT,N
BKPF,AUGGJ,ACDOCA,AUGGJ,N
BKPF,AWKEY,ACDOCA,AWORG,N
BKPF,AWORG_REV,ACDOCA,AWORG_REV,N
BKPF,AWREF_REV,ACDOCA,AWREF_REV,N
BKPF,AWSYS,ACDOCA,AWSYS,N
BKPF,AWTYP,ACDOCA,AWTYP,N
BKPF,BDGT_ACCOUNT,ACDOCA,BDGT_ACCOUNT,N
BKPF,BDGT_ACCOUNT_COCODE,ACDOCA,BDGT_ACCOUNT_COCODE,N
BKPF,BELNR,ACDOCA,BELNR,N
BKPF,BEWAR,ACDOCA,RMVCT,N
BKPF,BKTXT,BKPF,BKTXT,N
BKPF,BLART,ACDOCA,BLART,N
BKPF,BLDAT,ACDOCA,BLDAT,N
BKPF,BSCHL,ACDOCA,BSCHL,Y
BKPF,BSTAT,ACDOCA,BSTAT,N
BKPF,BTYPE,ACDOCA,BTYPE,N
BKPF,BUDAT,ACDOCA,BUDAT,N
BKPF,BUDGET_PD,ACDOCA,RBUDGET_PD,N
BKPF,BUKRS,ACDOCA,RBUKRS,N
BKPF,BUZEI,ACDOCA,BUZEI,N
BKPF,BWKEY,ACDOCA,BWKEY,N
BKPF,BWTAR,ACDOCA,BWTAR,N
BKPF,BZDAT,ACDOCA,BZDAT,N
BKPF,CPUDT,ACDOCA,TIMESTAMP,N
BKPF,CPUTM,ACDOCA,TIMESTAMP,N
BKPF,DABRZ,ACDOCA,DABRZ,N
BKPF,DBBLG,BKPF,DBBLG,N
BKPF,DMBE2/3,ACDOCA,KSL,Y
BKPF,DMBE2/3,ACDOCA,OSL,Y
BKPF,DMBE2/3,ACDOCA,VSL,Y
BKPF,DMBTR,ACDOCA,HSL,N
BKPF,DOCCAT,BKPF,DOCCAT,N
BKPF,EBELN,ACDOCA,EBELN,N
BKPF,EBELN_LOGSYS,ACDOCA,EBELN_LOGSYS,N
BKPF,EBELP,ACDOCA,EBELP,N
BKPF,EGRUP,ACDOCA,EGRUP,N
BKPF,ETYPE,ACDOCA,ETYPE,N
BKPF,FIKRS,ACDOCA,FIKRS,N
BKPF,FISTL,ACDOCA,FISTL,N
BKPF,FKBER_LONG,ACDOCA,RFAREA,N
BKPF,GJAHR,ACDOCA,GJAHR,N
BKPF,GLVOR,BKPF,GLVOR,N
BKPF,GRANT_NBR,ACDOCA,RGRANT_NBR,N
BKPF,GSBER,ACDOCA,RBUSA,N
BKPF,HBKID,ACDOCA,HBKID,N
BKPF,HKONT,ACDOCA,RACCT,N
BKPF,HKTID,ACDOCA,HKTID,N
BKPF,HRKFT,ACDOCA,HRKFT,N
BKPF,HWAE2/3,ACDOCA,RKCUR,Y
BKPF,HWAE2/3,ACDOCA,ROCUR,Y
BKPF,HWAE2/3,ACDOCA,RVCUR,Y
BKPF,HWAER,ACDOCA,RHCUR,N
BKPF,KBLNR,ACDOCA,KBLNR,N
BKPF,KBLPOS,ACDOCA,KBLPOS,N
BKPF,KOART,ACDOCA,KOART,N
BKPF,KOKRS,ACDOCA,KOKRS,N
BKPF,KOSTL,ACDOCA,RCNTR,N
BKPF,KSTAR,ACDOCA,RACCT,N
BKPF,KTOSL,ACDOCA,KTOSL,N
BKPF,KUNNR,ACDOCA,KUNNR,N
BKPF,KURSF,BKPF,KURSF,N
BKPF,LDGRP,BKPF,LDGRP,N
BKPF,LIFNR,ACDOCA,LIFNR,N
BKPF,LOKKT,ACDOCA,LOKKT,N
BKPF,LSTAR,ACDOCA,LSTAR,N
BKPF,MANDT,ACDOCA,RCLNT,N
BKPF,MATNR,ACDOCA,MATNR,N
BKPF,MEASURE,ACDOCA,MEASURE,N
BKPF,MEINS,ACDOCA,RUNIT,N
BKPF,MENGE,ACDOCA,MSL,N
BKPF,MONAT,ACDOCA,POPER,N
BKPF,MWSKZ,ACDOCA,MWSKZ,N
BKPF,NETDT,ACDOCA,NETDT,N
BKPF,PAOBJNR,ACDOCA,PAOBJNR,N
BKPF,PARGB,ACDOCA,SBUSA,N
BKPF,PBUDGET_PD,ACDOCA,SBUDGET_PD,N
BKPF,PEINH,ACDOCA,HPEINH,N
BKPF,PERNR,ACDOCA,PERNR,N
BKPF,PEROP_BEG,ACDOCA,PEROP_BEG,N
BKPF,PEROP_END,ACDOCA,PEROP_END,N
BKPF,PFKBER,ACDOCA,SFAREA,N
BKPF,PGRANT_NBR,ACDOCA,SGRANT_NBR,N
BKPF,POSN2,ACDOCA,KDPOS,N
BKPF,PPNAM,BKPF,PPNAM,N
BKPF,PPRCT,ACDOCA,PPRCTR,N
BKPF,PRCTR,ACDOCA,PRCTR,N
BKPF,PRODPER,ACDOCA,PRODPER,N
BKPF,PROJK,ACDOCA,PS_POSID,N
BKPF,PSEGMENT,ACDOCA,PSEGMENT,N
BKPF,PSWBT,ACDOCA,TSL,N
BKPF,PSWSL,ACDOCA,RTCUR,N
BKPF,REBZG,ACDOCA,REBZG,N
BKPF,REBZJ,ACDOCA,REBZJ,N
BKPF,REBZT,ACDOCA,REBZT,N
BKPF,REBZZ,ACDOCA,REBZZ,N
BKPF,RECID,ACDOCA,RECID,N
BKPF,RISK_CLASS,ACDOCA,RISK_CLASS,N
BKPF,SEGMENT,ACDOCA,SEGMENT,N
BKPF,SERVICE_DOC_ID,ACDOCA,SERVICE_DOC_ID,N
BKPF,SERVICE_DOC_ITEM_ID,ACDOCA,SERVICE_DOC_ITEM_ID,N
BKPF,SERVICE_DOC_TYPE,ACDOCA,SERVICE_DOC_TYPE,N
BKPF,SGTXT,ACDOCA,SGTXT,N
BKPF,SHKZG,ACDOCA,DRCRK,N
BKPF,STBLG,BKPF,STBLG,N
BKPF,STGRD,BKPF,STGRD,N
BKPF,STJAH,BKPF,STJAH,N
BKPF,STODT,BKPF,STODT,N
BKPF,TAX_COUNTRY,ACDOCA,TAX_COUNTRY,N
BKPF,TCODE,BKPF,TCODE,N
BKPF,UMSKZ,ACDOCA,UMSKZ,N
BKPF,UPDDT,BKPF,UPDDT,N
BKPF,USNAM,ACDOCA,USNAM,N
BKPF,VALOBJTYPE,ACDOCA,VALOBJTYPE,N
BKPF,VALOBJ_ID,ACDOCA,VALOBJ_ID,N
BKPF,VALSOBJ_ID,ACDOCA,VALSOBJ_ID,N
BKPF,VALUT,ACDOCA,VALUT,N
BKPF,VBEL2,ACDOCA,KDAUF,N
BKPF,VBUND,ACDOCA,RASSC,N
BKPF,VNAME,ACDOCA,VNAME,N
BKPF,VORGN,ACDOCA,BTTYPE,Y
BKPF,VORGN,ACDOCA,VORGN,Y
BKPF,VPTNR,ACDOCA,VPTNR,N
BKPF,WAERS,ACDOCA,RWCUR,N
BKPF,WERKS,ACDOCA,WERKS,N
BKPF,WRBTR,ACDOCA,WSL,N
BKPF,WWERT,ACDOCA,WWERT,N
BKPF,XBLNR,BKPF,XBLNR,N
BKPF,XBLNR_ALT,BKPF,XBLNR_ALT,N
BKPF,XOPVW,ACDOCA,XOPVW,N
BKPF,XREF1_HD,BKPF,XREF1_HD,N
BKPF,XREF2_HD,BKPF,XREF2_HD,N
BKPF,XREVERSAL,ACDOCA,XREVERSING,N
BKPF,XREVERSAL=1,ACDOCA,XREVERSED,N
BKPF,XREVERSAL=2,ACDOCA,XREVERSING,N
BKPF,ZEKKN,ACDOCA,ZEKKN,N
BKPF,ZUONR,ACDOCA,ZUONR,N
BKPF,_DATAAGING,ACDOCA,_DATAAGING,N
BSAD,BELNR,ACDOCA,BELNR,N
BSAD,BUKRS,ACDOCA,RBUKRS,N
BSAD,GJAHR,ACDOCA,GJAHR,N
BSAD,VBELN,,,Y
BSEG,ACRITMTYPE,ACDOCA,ACRITMTYPE,N
BSEG,ACRLOGSYS,ACDOCA,ACRLOGSYS,N
BSEG,ACROBJTYPE,ACDOCA,ACROBJTYPE,N
BSEG,ACROBJ_ID,ACDOCA,ACROBJ_ID,N
BSEG,ACRSOBJ_ID,ACDOCA,ACRSOBJ_ID,N
BSEG,ACRVALDAT,ACDOCA,ACRVALDAT,N
BSEG,ANBWA,ACDOCA,ANBWA,N
BSEG,ANLN1,ACDOCA,ANLN1,N
BSEG,ANLN2,ACDOCA,ANLN2,N
BSEG,APLZL,BSEG,APLZL,N
BSEG,AUFNR,ACDOCA,AUFNR,N
BSEG,AUFPL,,,Y
BSEG,AUGBL,ACDOCA,AUGBL,N
BSEG,AUGCP,BSEG,AUGCP,Y
BSEG,AUGDT,ACDOCA,AUGDT,N
BSEG,AUGGJ,ACDOCA,AUGGJ,N
BSEG,AWKEY,BKPF,AWKEY,N
BSEG,AWORG_REV,ACDOCA,AWORG_REV,N
BSEG,AWREF_REV,ACDOCA,AWREF_REV,N
BSEG,AWSYS,ACDOCA,AWSYS,N
BSEG,AWTYP,ACDOCA,AWTYP,N
BSEG,BDGT_ACCOUNT,ACDOCA,BDGT_ACCOUNT,N
BSEG,BDGT_ACCOUNT_COCODE,ACDOCA,BDGT_ACCOUNT_COCODE,N
BSEG,BELNR,ACDOCA,BELNR,N
BSEG,BEWAR,ACDOCA,RMVCT,N
BSEG,BSCHL,ACDOCA,BSCHL,N
BSEG,BTYPE,ACDOCA,BTYPE,N
BSEG,BUDGET_PD,ACDOCA,RBUDGET_PD,N
BSEG,BUKRS,ACDOCA,RBUKRS,N
BSEG,BUZEI,ACDOCA,BUZEI,N
BSEG,BWKEY,ACDOCA,BWKEY,N
BSEG,BWTAR,ACDOCA,BWTAR,N
BSEG,BZDAT,ACDOCA,BZDAT,N
