source_table,source_column,target_table,target_column,affected_views,view_count
BSEG,AWKEY,ACDOCA,AWORG,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,AWKEY,ACDOCA,AWREF,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,DMBE2/3,ACDOCA,KSL,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,DMBE2/3,ACDOCA,OSL,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,DMBE2/3,ACDOCA,VSL,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,FWBAS,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,HWBAS,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,H_HWAE2/3,ACDOCA,RKCUR,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,H_HWAE2/3,ACDOCA,ROCUR,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,H_HWAE2/3,ACDOCA,RVCUR,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
